# 0,     17.6,     27.2,     40.8,     54.4,     150
0.000  8.142e-2  5.574e-2  2.656e-2  1.481e-2  1.819e-3
0.025  7.940e-2  5.460e-2  2.564e-2  1.399e-2  1.410e-3
0.050  7.735e-2  5.346e-2  2.480e-2  1.328e-2  1.138e-3
0.075  7.524e-2  5.231e-2  2.402e-2  1.264e-2  9.485e-4
0.100  7.308e-2  5.114e-2  2.329e-2  1.206e-2  8.111e-4
0.125  7.086e-2  4.995e-2  2.258e-2  1.154e-2  7.078e-4
0.150  6.858e-2  4.875e-2  2.191e-2  1.106e-2  6.278e-4
0.175  6.623e-2  4.752e-2  2.125e-2  1.062e-2  5.646e-4
0.200  6.381e-2  4.625e-2  2.062e-2  1.021e-2  5.136e-4
0.225  6.132e-2  4.495e-2  1.999e-2  9.832e-3  4.719e-4
0.250  5.874e-2  4.361e-2  1.938e-2  9.475e-3  4.375e-4
0.275  5.607e-2  4.223e-2  1.877e-2  9.137e-3  4.087e-4
0.300  5.332e-2  4.080e-2  1.817e-2  8.812e-3  3.843e-4
0.325  5.046e-2  3.930e-2  1.756e-2  8.499e-3  3.635e-4
0.350  4.748e-2  3.772e-2  1.693e-2  8.191e-3  3.455e-4
0.375  4.434e-2  3.602e-2  1.629e-2  7.866e-3  3.297e-4
0.400  4.103e-2  3.421e-2  1.562e-2  7.579e-3  3.160e-4
0.425  3.759e-2  3.231e-2  1.492e-2  7.270e-3  3.040e-4
0.450  3.426e-2  3.041e-2  1.420e-2  6.963e-3  2.940e-4
0.475  3.169e-2  2.878e-2  1.355e-2  6.680e-3  2.865e-4
0.500  3.132e-2  2.794e-2  1.311e-2  6.473e-3  2.822e-4
